Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Monolito de la plaza de la Democracia,Monument,Pza Democracia ,"Ramon Gomez de la Serna, 37","Calle Ramon Gomez de la Serna, 37,",6,18,891.31
Monolito de Pizarra I,Monument,Avda Monforte de Lemos ,"Calle Monforte de Lemos, 103","577 - Calle Monforte de Lemos, 103,",11,13,90.07
Monolito de Pizarra II,Monument,Avda Betanzos ,"Avenida Monforte de Lemos, 123","Avenida Monforte de Lemos, 123,",22,2,170.96
Monolito del parque de Berlín,Monument,PARQUE BERLIN ,Parque Berlín,"Avenida de Concha Espina nº 34,",6,17,182.86
Monolito del parque de Pradolongo,Monument, ,"Calle de la Avena, 10","Calle de la Avena, 10,",14,9,344.4
Monolito del parque del Manzanares,Monument, ,"Avenida de la Perla, 35","Avenida de la Perla, 35,",16,7,709.66
Monolito del parque Olof Palme II,Monument, ,"Calle Rafaela Ybarra, 22","Calle Rafaela Ybarra, 22,Comunidad de Madrid España",17,6,127.32
Monolito Doña Rosita la Soltera,Monument,Pº Federico García Lorca ,"Paseo de Federico Garcia Lorca, 4","Paseo de Federico Garcia Lorca, 4,",1,16,276.36
Monolito en la avenida Paraninfo,Monument,AVENIDA COMPLUTENSE 1,Ciudad Universitaria 2,"Avenida de la Complutense (Metro Ciudad Universitaria),",6,13,118.04
Monolito jardines de Cándido Reyes,Monument,Avda Poblados 154,"Calle de Moreja, 30","Calle de Moreja, 30,",17,7,339.47
Monolito Marcelo Usera,Monument,C Marcelo Usera 50,"Amparo Usera , 46","Amparo Usera , 46,",22,1,261.58
Monolito Mariana Pineda,Monument,Pº Federico García Lorca ,"Paseo de Federico Garcia Lorca, 4","Paseo de Federico Garcia Lorca, 4,",1,16,255.73
Monolito parque Olof Palme I,Monument, ,"Manuel Noya , 29","Manuel Noya , 29,",19,5,44.72
Monolito Poema del Cante Jondo,Monument,Pº Federico García Lorca ,"Paseo de Federico Garcia Lorca, 4","Paseo de Federico Garcia Lorca, 4,",1,16,317.63
Monolito Rafaela Ybarra,Monument,Avda Rafaela Ybarra 41,"Calle Rafaela Ybarra, 22","Calle Rafaela Ybarra, 22,Comunidad de Madrid España",17,6,98.31
Monolito Recoletos,Monument,Pº Recoletos ,Cibeles,"Plaza Cibeles,",9,14,144.2
Monolito Romancero Gitano,Monument,Pº Federico García Lorca 15,"Paseo de Federico Garcia Lorca, 4","Paseo de Federico Garcia Lorca, 4,",1,16,156.19
Monolito Unidad Pozo-Orcasitas,Monument,Pza Asociación s/n,"Gran Avenida, 27","Gran Avenida, 27,",16,8,86.05
Monolitos Emblemáticos,Monument,C Arturo Soria 340,"Arturo Soria, 332","Arturo Soria, 332,",3,20,211.34
Monolitos Escuela Superior de Ingenieros de Minas,Monument,CALLE RIOS ROSAS 21,Santa Engracia 127,"Calle Santa Engracia nº 127,",3,19,122.44
Monseñor Óscar Romero,Monument,C Monseñor Óscar Romero 42,"Plaza de la Parroquia , 20","Plaza de la Parroquia , 20,",6,17,291.87
Montaña Artificial del Retiro,Monument,Pº Duque de Fernán Núñez ,Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",20,7,60.93
Monumento 1 Gran Vía Villaverde Letras,Monument,C Gran Vía de Villaverde ,Calle Domingo Párraga,"411 - Calle Domingo Párraga,",3,8,476.73
Monumento 2 Gran Vía Villaverde,Monument,AVENIDA GRAN VIA DE VILLAVERDE 20,"Doctor Martín Arévalo, 19","Calle Doctor Martín Arévalo, 19,",4,19,627.37
Monumento 3 Gran Vía Villaverde,Monument,AVENIDA GRAN VIA DE VILLAVERDE 20,"Doctor Martín Arévalo, 19","Calle Doctor Martín Arévalo, 19,",4,19,627.37
Monumento 4 Gran Vía Villaverde,Monument,C Gran Vía de Villaverde ,"Eduardo Maristany, 7","Calle de Eduardo Maristany, 7,",26,1,535.4
Monumento 6 Gran Vía Villaverde Letras,Monument,C Gran Vía de Villaverde ,"Eduardo Maristany, 7","Calle de Eduardo Maristany, 7,",26,1,181.36
Monumento a Adolfo Suárez,Monument,C Marroquina 42,Marroquina,"Calle Camino de los Vinateros nº 108,",2,16,58.57
Monumento a Enrique Tierno Galván,Monument,C Aconcagua ,"Calle de Mota del Cuervo, 70","Calle de Mota del Cuervo, 70,",6,18,377.74
Monumento a la Paz,Monument, ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",4,19,408.41
Monumento a las víctimas de la Aviación Militar Española,Monument,C Princesa 87,Arcipreste de Hita B,"Calle Arcipreste de Hita nº 12,",4,18,106.29
Monumento a las víctimas del 11-M El Pozo,Monument,Avda Entrevías ,"Calle Puerto de Balbaran, 10","Calle Puerto de Balbaran, 10,",22,5,121.49
Monumento a los caídos,Monument,GLORIETA EJERCITO 1,"Paseo de Marcelino Camacho, 53B","Paseo de Marcelino Camacho, 53B,",6,17,88.79
Monumento a los caídos de Fuencarral,Monument,PLAZA MADRE MARIA ANA MOGAS 2," Isla Graciosa, 2","Calle de la Isla Graciosa, 2,",6,17,274.08
Monumento al III duque de Osuna,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",19,8,275.55
Monumento Junta Municipal de Hortaleza,Monument,Ctra Canillas 2,"Vicente Muzas, 12","Vicente Muzas, 12,",2,21,478.58
Moreno Benítez Juan,Monument,C General Ricardos 179,"Av de la plaza de Toros , 3","Av de la plaza de Toros , 3,",2,21,340.61
Mosaico mural,Monument,Trav Felipe de Diego ,"Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",27,0,260.24
Mujer con Espejo,Monument,PLAZA COLON 1,Marqués de la Ensenada,"Calle Marqués de la Ensenada nº 16,",2,21,51.12
Mujer sedente,Monument, ,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,178.89
"Mural Capitán Haya, 41",Monument,CALLE CAPITAN HAYA 41,Sor Ángela de la Cruz,"Calle Sor Ángela de la Cruz nº 2,",2,22,129.62
Mural El Árbol de la Vida,Monument,C Marcelo Usera 170,"Calle de la Via, 52","Calle de la Via,",6,17,173.02
Mural La Paz,Monument,Pº Castellana 261,"Calle de Angel Mugica, 3","Calle de Angel Mugica, 3,",5,19,462.71
Mural la Remonta,Monument,PLAZA REMONTA 1,Muller,"Calle Muller,",1,23,73.58
Mural Palacio de Congresos,Monument,AVENIDA GENERAL PERON 1,General Perón 1,"Avenida del General Perón frente al nº 4,",4,19,80.59
Mural y escultura bajo puente de Raimundo Fernández Villaverde,Monument,C Raimundo Fernández Villaverde ,Paseo de la Castellana con Raimundo Fer,"Paseo de la Castellana esquina calle Raimundo Fernández Villaverde,",1,22,70.55
Muralla islámica,Monument,Pza Emir Mohamed I ,Segovia 26,"Calle Segovia nº 26,",9,18,153.45
Muralla Jardín Judío,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Murillo,Monument,Pza Murillo ,Almadén,"Calle Almadén nº 28,",17,6,222.82
Muro con escudo,Monument,CALLE CEA BERMUDEZ 4,Canal,"Calle José Abascal frente al nº 2,",10,13,208.23
Muro de Berlín,Monument,PLAZA VIRGEN GUADALUPANA ,Parque Berlín,"Avenida de Concha Espina nº 34,",6,17,285.07
Musa Terpsícore,Monument,C General Millán Astray 15,"Avda de las Aguilas, 27","Avda de las Aguilas, 27,",7,16,592.97
Museo de los Toreros,Monument,C Alcalá 231,Ventas,"Avenida de los Toreros nº 49,",2,25,188.92
Muñoz Degraín,Monument,Pº Recoletos 20,Biblioteca Nacional,"Paseo de Recoletos nº 20,",10,13,139.73
My sky Hole - Madrid,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Máquina de vapor,Monument, ,"Calle del Monasterio de Sobrado, 6","602 - Calle del Monasterio de Sobrado, 6,",5,19,3923.3
Mártires de la Sacramental de San Isidro,Monument,Pº Ermita del Santo 78,PASEO DE LOS MELANCÓLICOS 73,"PASEO DE LOS MELANCÓLICOS 73,",15,7,641.19
Mártires San Fermín de los Navarros,Monument,PASEO EDUARDO DATO 10,Castellana 33,"Castellana 33,",2,21,305.25
Mère Ubu,Monument,Pº Castellana 41,Castellana 42,"Paseo de la Castellana nº 42,",2,21,67.09
Móvil,Monument,Pº Castellana 41,Castellana 42,"Paseo de la Castellana nº 42,",2,21,66.99
Nacho Ugalde,Monument,PLAZA IGNACIO UGALDE 5,"Avenida de Hellin, 13","Avenida de Hellin, 13,",8,16,171.16
Nebrija,Monument,Pº Recoletos 20,Biblioteca Nacional,"Paseo de Recoletos nº 20,",10,13,85.79
Neptuno,Monument,Pza Cánovas del Castillo ,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",3,20,183.87
Newton y dolmen de Dalí,Monument,Pza Dalí ,Palacio de Deportes,"Calle Goya nº 99,",14,13,103.79
Nicanor Barroso,Monument,C Encomienda de Palacios ,"Encomienda de Palacios, 8","Encomienda de Palacios, 8,",2,21,395.16
Nicolás Fernández de Moratín,Monument,C Huertas 69,Huertas,"Calle Jesús nº 1,",6,19,19.89
Niños en el Colegio Rufino Blanco,Monument,CALLE GENERAL ALVAREZ DE CASTRO 46,Canal,"Calle José Abascal frente al nº 2,",10,13,127.63
Niño con caracola,Monument,Pza Doctor Laguna 1,Doce de Octubre,"Calle Doce de Octubre nº 28,",1,22,118.83
Niños con jarrón de Cibeles,Monument,Pza Cibeles ,Cibeles,"Plaza Cibeles,",9,14,39.17
Niños con jarrón en Atocha,Monument,Pza Emperador Carlos V ,Cuesta de Moyano,"Cuesta de Claudio Moyano,",11,13,41.59
Niños en el Colegio Público Marcelo Usera,Monument,C Perales de Tajuña 1,Glorieta de Cádiz,"Calle Antonio López nº 129,",17,6,203.12
Noria de la Fábrica de Porcelana,Monument,Pº Duque de Fernán Núñez ,"Paseo Reina Cristina,6","Paseo Reina Cristina,6,",17,6,419.26
Nubes Cromáticas,Monument, ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",4,19,322.63
Nuestra Señora de los Desamparados,Monument,Pza Pinazo 9,"Calle Cifuentes, 5","Calle Cifuentes, 5,",3,19,794.33
Nuestra Señora de Moratalaz,Monument,C Entre Arroyos 19,"Calle del Arroyo Belincoso, 26","Calle del Arroyo Belincoso, 26,",17,6,223.07
Obelisco de la Fuente Castellana,Monument, ,"Paseo de las Yeserías, 15","Paseo de las Yeserías, 15,",10,13,191.26
Obelisco de la Vicalvarada,Monument, ,Villablanca  7,"Calle Villablanca 7,",2,21,151.16
Obelisco del 2 de Mayo y Caídos por España,Monument,Pza Lealtad ,"Calle Felipe IV, 3","Calle Felipe IV, 3,",5,18,155.07
Obelisco Laus Deo I,Monument,C Bustamante 2,Delicias,"Calle Bustamante nº 1,",10,13,20.79
Obelisco Laus Deo II,Monument,Pza Ortega y Munilla ,Metro Pirámides,"Paseo de los Olmos nº 28,",18,5,76.1
Obelisco Pasillo Verde,Monument,C Santa María la Real de Nieva ,"Paseo de los Pontones, 45","Paseo de los Pontones, 45,",20,3,216.35
Obeliscos octogonales Av Andalucía,Monument,Avda Andalucía ," Calle de Santa Petronila, 7","414 -  Calle de Santa Petronila, 7,",11,13,81.7
Obeliscos-Pirámides,Monument,Gta Pirámides ,Pirámides,"Calle Toledo nº 181,",12,12,93.89
Ocho columnas en los jardines de Cecilio Rodríguez,Monument, ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",15,12,118.43
Octaedro-Aire,Monument,GLORIETA SANTA MARIA DE LA CABEZA 1,Santa María de la Cabeza,"Paseo de Santa María de la Cabeza nº 58,",21,6,71.89
Ola a Ritmo de Txalaparta,Monument,ESTACION DE METRO CHAMARTIN ,Chamartín,"Calle Rodríguez Jaén nº 40,",1,21,171.34
Olivar Hinojosa-Bosque Olivar,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Olivar Reina Sofía,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Olivo en bronce,Monument,Pza Dalí ,Palacio de Deportes,"Calle Goya nº 99,",14,13,96.17
Orden cósmico,Monument,Trav Felipe de Diego s/n,"Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",27,0,301.84
Ordoño I,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",8,19,52.02
Ordoño II,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",8,19,68.71
Organización de Profesionales y Autónomos O.P.A.,Monument,Pº Prado ,"Calle Felipe IV, 3","Calle Felipe IV, 3,",5,18,171.99
Organización Mundial Turismo,Monument,CALLE GENERAL YAGÜE 1,San Germán 5,"Calle San Germán nº 5,",3,21,147.13
Oso de Berlín,Monument,PARQUE BERLIN ,Parque Berlín,"Avenida de Concha Espina nº 34,",6,17,182.86
Oso y Madroño,Monument,C Carmen ,Plaza de Santa Ana,"Plaza de Santa Ana nº 10,",8,7,320.23
Oso y Madroño,Monument,C Barros 16,"Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",27,0,555.43
Oso y Madroño,Monument,PLAZA PROSPERIDAD 1,Prosperidad,"Calle Suero de Quiñones nº 3,",1,26,38.72
Osos sentados de la Casa de Fieras,Monument, ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",15,12,123.32
Osos tumbados de la Casa de Fieras,Monument, ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",15,12,71.36
Pabellón islámico,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Pablo Iglesias,Monument,AVENIDA PABLO IGLESIAS 2,Bravo Murillo 44,"Calle Bravo Murillo nº 44,",2,21,123.8
Pablo Luna,Monument,CALLE SANDOVAL 6,Malasaña,"Calle Manuela Malasaña nº 5,",6,21,183.31
Pablo Montesino,Monument,C San Bernardo 70,Norte,"Calle norte nº 8,",10,9,115.32
Pablo Neruda,Monument,CALLE HILARION ESLAVA 2,Arcipreste de Hita A,"Calle Arcipreste de Hita nº 12,",3,19,174.14
Pablo Picasso,Monument,PLAZA PABLO RUIZ PICASSO 1,Castellana frente a Hermanos Pinzón,"Paseo de la Castellana nº 122,",6,17,178.48
Pablo Ruíz Picasso,Monument,C San Pedro Mártir 5,Jesús y María,"Calle Lavapiés nº 34,",7,11,219.57
Pablo Sorozábal,Monument,CALLE PRINCIPE DE VERGARA 141,María Francisca 1,"Calle María Francisca nº 3,",3,16,141.75
Padre Damián,Monument,CALLE PADRE DAMIAN 2,Paseo de la Habana 63,"Paseo de la Habana nº 63,",6,17,286.03
Padre Llanos,Monument,C Cooperativa Eléctrica ,"Calle Puerto de Balbaran, 10","Calle Puerto de Balbaran, 10,",22,5,391.22
Pairón o Peirón,Monument,C María de Molina ,Velázquez 130,"Calle Velázquez nº 130,",2,25,292.37
Palacete Villa Rosa,Monument,Ctra Canillas 2,"Vicente Muzas, 12","Vicente Muzas, 12,",2,21,450.52
Palacio de Miraflores,Monument,Ctra San Jerónimo 15,Sevilla,"Calle Alcalá nº 27,",9,9,164.55
Paloma de la Paz,Monument,Pza Paloma de la Paz 1,"Calle Cifuentes, 5","Calle Cifuentes, 5,",3,19,939.71
Paloma de la Paz,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Paneles cerámicos vidriados. Palomeras bajas,Monument,CALLE AHIJONES 1,"Calle Puerto de Balbaran, 10","Calle Puerto de Balbaran, 10,",22,5,271.96
Pareja Feliz,Monument,C Arturo Soria 214,"Vicente Muzas, 12","Vicente Muzas, 12,",2,21,324.59
Parque de Atenas,Monument,PASEO CIUDAD DE PLASENCIA ,Segovia 45,"Calle Segovia nº 45,",16,11,297.93
Parque de Atracciones,Monument, ," Paseo de la Venta, 1","Paseo de la Venta, 1,",1,26,562.46
Parque de la Arganzuela,Monument, ,"Paseo de las Yeserías, 15","Paseo de las Yeserías, 15,",10,13,162.59
Parque de la Montaña,Monument, ,Ferraz,"Calle Evaristo San Miguel nº 2,",6,16,215.81
Parque de las Naciones,Monument,CALLE GUZMAN EL BUENO 1,Guzmán el Bueno,"Calle Guzmán el Bueno nº 1,",3,24,25.35
Parque de San Isidro,Monument,Pº Ermita del Santo ,"Calle Comandante Fontanes, 1","Calle Comandante Fontanes, 1,",16,7,604.38
Parque Juan Carlos I,Monument, ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",4,19,289.24
Partido Socialista Obrero Español,Monument,C Tetuán 12,Miguel Moya,"Calle Miguel Moya nº 1,",19,8,370.48
Pasaje Azul,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Pasarela-puente,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Paseo entre dos árboles,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Paso peatonal Puerta Sur,Monument,C Párroco Eusebio Cuenca ,Calle del Cobre (M. Planetario),"Calle del Cobre (Metro Arganzuela Planetario),",22,1,223.88
Paul Guinard,Monument,C Paul Guinard (Casa de Velázquez) 3,INEF,"Avenida Juan de Herrera frente a la calle Paul Guinard,",2,21,278.99
Paul Harris,Monument,Pº Pintor Rosales ,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,130.41
Paulus,Monument,PLAZA ARMERIA 1,Plaza Ramales,"Plaza de Ramales,",8,15,236.8
Pedestal del paseo de los Reyes,Monument,Pº República Argentina ,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,342.65
Pedestal del paseo Duque de Fernán Núñez,Monument,PARQUE RETIRO ,Castelló,"Calle Alcalá nº 111,",6,21,107.72
Pedro Antonio de Alarcón,Monument,C Atocha 94,Santa Isabel,"Calle Santa Isabel 32,",17,10,187.26
Pedro Calderón de la Barca,Monument,Pza Santa Ana ,Plaza de Santa Ana,"Plaza de Santa Ana nº 10,",8,7,47.33
Pedro de Valdivia,Monument,CALLE PEDRO DE VALDIVIA 24,Serrano 113,"Calle Serrano nº 113B,",5,22,152.22
Pedro Escartín,Monument,C Hermosilla 36,Goya 18,"Calle Goya nº 18,",3,24,127.32
Pedro Escartín,Monument,PASEO CASTELLANA 142,Doctor Fleming,"Calle Doctor Fleming nº 7,",2,17,273.71
Pedro González Gutiérrez,Monument,PARQUE CERRO PEÑABEL ,"Calle La Cabrera, sn","Calle La Cabrera, sn,",15,12,423.58
Pedro Muñoz Seca,Monument,C Velázquez 57,Ayala,"Calle Ayala nº 44,",7,14,125.08
Pedro Sainz de Baranda y Gorriti,Monument,CALLE ALCALDE SAINZ DE BARANDA 2,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",1,22,155.01
Pedro Vargas,Monument,Pº Panamá ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",1,22,118.44
Pegaso,Monument,Ctra Acceso al Aeropuerto ,"Plaza Mayor de Barajas, 24","Plaza Mayor de Barajas, 24,",15,8,450.38
"Pelayo, Rey de Asturias",Monument,Pza Oriente ,Plaza Ramales,"Plaza de Ramales,",8,15,145.42
Pepín Fernández,Monument,Pza Carmen ,Desengaño,"Calle Desengaño nº 1,",11,12,204.38
Petrus,Monument,Pza Armería ,Plaza Ramales,"Plaza de Ramales,",8,15,174.35
Pilar I,Monument,C Costa del Sol 2,"Avenida de San Luis, 23","Avenida de San Luis, 23,",4,18,260.97
Pilar IV,Monument,C Mar de las Antillas 1,"Calle de Santa Virgilia, 6","Calle de Santa Virgilia, 6,",4,7,230.06
Pilares II y III,Monument,C Costa del Sol 8,"Avenida de San Luis, 23","Avenida de San Luis, 23,",4,18,298.17
Pilastras hitos plaza Recibimiento,Monument, ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",4,19,273.99
Pilono Colonia Alfonso XIII,Monument,GLORIETA MONTAÑA 2,"Calle Alcala, 590","Calle Alcala, 590,",13,10,322.14
Pinturas Mingote,Monument,C de la Sal ,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",15,3,250.11
Pinturas murales Pasaje Pleyel,Monument,C Mayor 6,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",15,3,331.36
Pirámide en Mirador,Monument, ,"Carretera del ZOO, s/n (M. Casa Campo)","Carretera del ZOO, s/n (M. Casa Campo),",3,24,443.79
Pirámides del parque Peñuelas,Monument,Pº Esperanza ,Paseo de la Esperanza,"Paseo de la Esperanza nº 21,",15,7,77.8
Placa inauguración Asamblea de Madrid,Monument,Avda Pablo Neruda 142,"Calle de Candilejas, 5","Calle de Candilejas, 5,",15,8,83.63
Placa informativa Museo al Aire Libre,Monument,PASEO CASTELLANA 41,Glorieta de Em,"Paseo de la Castellana nº 43,",3,9,54.81
Placa Matadero en  Arganzuela,Monument, ,"Paseo de la Chopera, 33","Paseo de la Chopera,33,Comunidad de Madrid España",19,4,136.14
Placa Matadero en Usera,Monument,"Avda Manzanares, del 212",Glorieta de Cádiz,"Calle Antonio López nº 129,",17,6,173.46
Placa Museo al Aire Libre,Monument,Pº Castellana 41,Castellana 42,"Paseo de la Castellana nº 42,",2,21,27.27
Placa-listado cripta,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,360.46
Plano de Entrevías,Monument,Avda Entrevías 52,"Avenida de Entrevias, 56","Avenida de Entrevias, 56,",4,20,23.52
Planta cimientos Convento Trinitarios,Monument,Pza Platería de Martínez ,Huertas,"Calle Jesús nº 1,",6,19,182.55
Planta cimientos Fábrica Platerías,Monument,Pza Platería de Martínez 1,Almadén,"Calle Almadén nº 28,",17,6,193.64
Planta de la torre de la iglesia de Santa Cruz,Monument,Pza Santa Cruz 1,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",15,3,143.83
Plaza de acceso del Jardín de las Tres Culturas,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Plaza de Juan Santamaría,Monument,Pza Juan Santamaría ,"Calle Arzobispo Morcillo, 6","Calle Arzobispo Morcillo, 6,",4,23,181.22
Plaza de la Unión Cárcavas-San Antonio,Monument,Pza Unión Cárcavas-San Antonio ,"Rafaela Aparicio, 10","Rafaela Aparicio, 10,",22,5,87.79
Plaza de los Emperadores,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",19,8,156.0
Plaza de los Ministerios,Monument,Pº Castellana 67,Agustín de Betancourt,"Calle María de Guzmán nº 58,",5,18,187.05
Plaza de Oriente,Monument,Pza Oriente 1,Palacio de Oriente,"Calle Carlos III nº 1,",6,12,89.34
Plaza de Toros de Tetuán,Monument,CALLE BRAVO MURILLO 297,Remonta,"Calle Azucenas nº 1,",4,15,170.57
Plaza-Escultura,Monument,Pº Castellana 41,Castellana 42,"Paseo de la Castellana nº 42,",2,21,114.52
Plácido Domingo,Monument,C Ibiza 34,Retiro-Ibiza,"Calle Ibiza nº 18,",4,23,176.83
Polideportivo de Hortaleza,Monument,Ctra Acceso a la Estación de Hortaleza ,"Calle de Santa Virgilia, 6","Calle de Santa Virgilia, 6,",4,7,671.92
Polideportivo de Vicálvaro,Monument,PASEO POLIDEPORTIVO 3,Villablanca  7,"Calle Villablanca 7,",2,21,371.36
Por la Paz y el Desarme,Monument,AUDITORIO PARQUE DE LA VICALVARADA ,Villablanca  7,"Calle Villablanca 7,",2,21,86.11
Portada Cementerio de la Florida,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,339.46
Portada de Torre Arias,Monument,CALLE ALCALA 551,"Calle Alcala, 546","Calle Alcalá, 546,",2,25,45.18
Premio Europa Nostra 2003,Monument,C Huertas 47,Huertas,"Calle Jesús nº 1,",6,19,117.36
Prensa,Monument,C Principal de Provincias ,"Paseo de Puerta del Angel, 10 (M. Lago)","Paseo de Puerta del Angel, 10 ( metro Lago),",14,4,312.64
Primera Piedra Ciudad Lineal,Monument,C Arturo Soria 3,"Misterios, 1","Misterios,1,",7,15,47.49
Primera Piedra del Banco España,Monument,Pº Prado 2,Cibeles,"Plaza Cibeles,",9,14,56.57
Princesa de Yaiza,Monument, ,"Molins de Rey, 8","Calle Molins de Rey, 8,",14,10,137.71
Proalí,Monument,PASEO CASTELLANA 41,Glorieta de Em,"Paseo de la Castellana nº 43,",3,9,54.81
Protección a la Infancia,Monument,Pza Campillo del Mundo Nuevo ,Ribera de Curtidores,"Calle Ribera de Curtidores nº 28,",18,9,180.18
Proyecto para un monumento IV B,Monument,Pº Castellana 41,Castellana 42,"Paseo de la Castellana nº 42,",2,21,48.8
Puente Colorado,Monument,PARQUE CASA DE CAMPO ,"Calle de las Rosas de Aravaca, s/n","Calle de las Rosas de Aravaca, s/n,",3,20,1900.56
Puente de Arganzuela,Monument, ,"Paseo de las Yeserías, 15","Paseo de las Yeserías, 15,",10,13,257.81
Puente de hierro sobre la ría,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",19,8,303.68
Puente de La Agachadiza,Monument,Pº Castaños ,"Paseo de Puerta del Angel, 10 (M. Lago)","Paseo de Puerta del Angel, 10 ( metro Lago),",14,4,758.42
Puente de la Culebra,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Puente de la Garrapata,Monument,PARQUE CASA DE CAMPO ,"Calle de las Rosas de Aravaca, s/n","Calle de las Rosas de Aravaca, s/n,",3,20,1900.56
Puente de Segovia,Monument, Puente de Segovia ,Paseo Virgen del Puerto,"Paseo virgen de puerto,",15,0,297.31
Puente de Segovia. Panel informativo,Monument,Pº Marqués de Monistrol 7,Puerta del Ángel,"Plaza Puerta del Ángel nº 4,",23,4,469.97
Puente de Toledo,Monument, ,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",13,14,
Puente del Alamo Negro,Monument,Ctra Zarzón ,"Carretera del ZOO, s/n (M. Casa Campo)","Carretera del ZOO, s/n (M. Casa Campo),",3,24,556.71
Puente peatonal sobre el arroyo de Antequina,Monument,PARQUE CASA DE CAMPO ,"Calle de las Rosas de Aravaca, s/n","Calle de las Rosas de Aravaca, s/n,",3,20,1900.56
Puente Principado de Andorra,Monument,"Avda Manzanares, del 48",Ermita Santo,"Paseo de la Ermita del Santo nº 48,",26,1,168.72
Puentes del Invernadero y del Matadero,Monument, ,Antonio López,"Calle Eugenio Caxes frente al nº 12,",6,17,199.31
Puerta Bonita,Monument,C General Ricardos ,"Av de la plaza de Toros , 3","Av de la plaza de Toros , 3,",2,21,255.52
Puerta Cerrada,Monument,Pza Puerta Cerrada ,Plaza del Cordón,"Plaza del Cordón,",15,9,116.86
Puerta Colonia de la Prensa,Monument,C Rodríguez Lázaro 1,"Eugenia de Montijo, 57","Eugenia de Montijo, 57,",7,8,115.98
Puerta de Alcalá,Monument,Pza Independencia ,Plaza de la Independencia,"Plaza de la Independencia nº 6,",6,17,41.1
Puerta de Aravaca,Monument,PARQUE CASA DE CAMPO ,"Calle de las Rosas de Aravaca, s/n","Calle de las Rosas de Aravaca, s/n,",3,20,1900.56
Puerta de Dante del Retiro,Monument,Pza Menéndez Pelayo ,Menéndez Pelayo,"Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,",15,11,147.55
Puerta de España del Retiro,Monument,C Alfonso XII ,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,66.95
Puerta de Felipe IV del Retiro,Monument,C Alfonso XII 3,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,169.68
